Date,Number of game,Day,Visiting Team,Home Team,Visiting Team Starting Pitcher ID,Home Team Starting Pitcher ID,Visiting Team Score,Home Team Score,Team At-bats,Team Hits,Team Doubles,Team Triples,Team Homeruns,Team RBIs,Team Sacrifice Hits,Team Sacrifice Flies,Team Hit-by-pitch,Team Walks,Team Intentional Walks,Team Strikeouts,Team Stolen Bases,Team Caught Stealing,Team Grounded into DP,Team Awarded First Base due to CI,Team Left on Base,Team Pitchers Used,Team Individual Earned Runs,Team Earned Runs,Team Wild Pitches,Team Balks,Team Putouts,Team Assists,Team Errors,Team Passed Balls,Team Double Plays,Team Triple Plays
2015-04-06,0,Mon,SFN,ARI,bumgm001,collj001,5,4,37,13,3,0,0,4,0,1,0,2,0,7,0,0,1,0,8,6,4,4,1,0,27,13,0,0,2,0
2015-04-07,0,Tue,SFN,ARI,voger001,delar003,6,7,35,10,4,0,2,6,0,1,0,3,1,8,0,0,0,0,6,3,7,7,0,0,24,8,0,0,1,0
2015-04-08,0,Wed,SFN,ARI,hestc001,hellj001,5,2,40,14,4,0,1,5,2,0,0,2,0,4,0,0,0,0,12,4,0,0,1,0,27,16,1,1,0,0
2015-04-09,0,Thu,SFN,SDN,hudst001,kenni001,1,0,39,6,0,1,0,1,1,0,0,5,1,5,0,1,2,0,8,7,0,0,1,0,36,21,2,0,4,0
2015-04-10,0,Fri,SFN,SDN,linct001,morrb001,0,1,27,5,0,0,0,0,0,0,0,3,0,7,0,0,3,0,3,3,1,1,0,0,24,10,0,0,3,0
2015-04-11,0,Sat,SFN,SDN,bumgm001,shiej002,2,10,33,5,1,0,1,2,0,0,1,2,0,9,0,0,1,0,7,3,9,9,0,0,24,3,1,0,1,0
2015-04-12,0,Sun,SFN,SDN,peavj001,rosst001,4,6,33,7,1,1,1,4,0,0,0,4,0,12,0,0,0,0,6,4,6,6,0,0,24,7,0,0,1,0
2015-04-13,0,Mon,COL,SFN,butle001,hestc001,2,0,31,5,1,0,0,0,0,0,2,6,0,6,1,0,1,0,12,4,1,1,0,0,27,15,1,0,2,0
2015-04-14,0,Tue,COL,SFN,bergc001,hudst001,4,1,32,6,0,0,0,1,0,1,0,4,0,8,1,0,0,0,9,4,4,4,1,0,27,14,0,0,1,0
2015-04-15,0,Wed,COL,SFN,matzt001,linct001,4,2,33,7,0,1,1,2,0,0,1,2,0,7,2,0,1,0,7,4,3,3,0,0,27,10,1,0,0,0
2015-04-16,0,Thu,ARI,SFN,brada001,bumgm001,7,6,46,11,1,1,1,6,0,0,0,6,1,10,1,1,0,0,10,6,7,7,0,0,36,13,1,0,0,0
2015-04-17,0,Fri,ARI,SFN,collj001,peavj001,9,0,30,4,1,0,0,0,0,0,0,1,0,2,0,0,0,0,4,4,8,8,0,0,27,6,1,1,0,0
2015-04-18,0,Sat,ARI,SFN,delar003,hestc001,1,4,37,12,1,0,1,4,0,0,0,2,0,7,0,0,0,0,11,3,1,1,0,0,27,12,0,0,1,0
2015-04-19,0,Sun,ARI,SFN,hellj001,hudst001,5,1,31,8,1,1,0,1,0,1,0,1,0,3,0,0,3,0,5,4,5,5,0,0,27,17,1,0,0,0
2015-04-21,0,Tue,LAN,SFN,andeb004,linct001,2,6,35,13,1,1,1,5,0,0,0,2,0,6,1,0,2,0,7,6,2,2,1,0,27,13,0,0,4,0
2015-04-22,0,Wed,LAN,SFN,kersc001,bumgm001,2,3,28,5,0,0,0,3,1,1,1,3,0,11,0,1,0,0,5,4,2,2,0,0,27,8,1,0,0,0
2015-04-23,0,Thu,LAN,SFN,bolsm001,voger001,2,3,37,10,0,1,0,3,0,0,0,5,1,9,1,1,1,0,11,6,2,2,0,0,30,14,0,0,1,0
2015-04-24,0,Fri,SFN,COL,hestc001,butle001,4,6,35,12,3,0,1,4,0,0,0,3,1,5,0,0,3,0,7,3,6,6,1,0,24,11,0,0,0,0
2015-04-25,0,Sat,SFN,COL,hudst001,delaj001,5,4,42,12,4,0,2,5,2,0,0,7,0,10,2,0,2,0,13,6,4,4,0,0,33,15,0,0,2,0
2015-04-27,0,Mon,SFN,LAN,linct001,andeb004,3,8,33,7,2,0,0,3,0,0,0,4,0,7,1,0,0,0,7,4,8,8,0,0,24,15,1,0,1,0
2015-04-28,0,Tue,SFN,LAN,bumgm001,kersc001,2,1,36,10,1,0,1,2,0,0,0,2,0,8,1,0,1,0,9,2,1,1,0,0,27,11,1,0,1,0
2015-04-29,0,Wed,SFN,LAN,voger001,greiz001,3,7,35,7,3,0,1,3,0,0,0,2,0,10,0,0,0,0,7,5,7,7,0,0,24,11,0,0,2,0
2015-05-01,0,Fri,ANA,SFN,wilsc004,hestc001,2,3,31,6,1,0,0,3,1,1,0,3,1,6,0,1,0,0,7,5,1,1,0,0,27,11,1,1,0,0
2015-05-02,0,Sat,ANA,SFN,santh001,hudst001,4,5,33,11,1,0,2,5,2,0,0,2,0,8,2,0,0,0,8,4,4,4,0,0,27,14,0,0,0,0
2015-05-03,0,Sun,ANA,SFN,weavj003,linct001,0,5,33,10,2,1,2,5,0,0,1,2,0,4,0,0,1,0,7,2,0,0,0,0,27,11,1,0,1,0
2015-05-04,0,Mon,SDN,SFN,rosst001,bumgm001,0,2,30,8,1,0,0,2,0,0,0,3,0,5,3,0,1,0,7,3,0,0,0,0,27,10,4,0,0,0
2015-05-05,0,Tue,SDN,SFN,casha001,voger001,0,6,32,10,2,0,1,4,1,0,0,4,0,5,0,1,1,0,7,3,0,0,0,0,27,7,0,0,0,0
2015-05-06,0,Wed,SDN,SFN,kenni001,hestc001,9,1,31,6,1,1,0,1,1,0,0,1,0,6,0,0,0,0,5,6,9,9,0,0,27,11,0,0,1,0
2015-05-07,0,Thu,MIA,SFN,hared001,hudst001,7,2,33,9,2,0,0,2,0,1,0,0,0,3,0,0,2,0,5,4,7,7,0,0,27,19,0,0,2,0
2015-05-08,0,Fri,MIA,SFN,cosaj001,linct001,0,6,33,12,2,0,1,6,1,0,1,6,0,5,0,0,2,0,11,2,0,0,2,0,27,8,0,0,0,0
2015-05-09,0,Sat,MIA,SFN,pheld001,bumgm001,6,2,36,10,3,0,0,2,0,0,0,3,0,7,0,1,0,0,10,6,6,6,1,0,27,10,0,0,0,0
2015-05-10,0,Sun,MIA,SFN,latom001,voger001,2,3,35,10,2,0,0,3,0,0,0,3,1,7,1,1,0,0,9,4,2,2,1,0,27,11,0,0,0,0
2015-05-12,0,Tue,SFN,HOU,hestc001,mchuc001,8,1,38,12,2,0,0,7,0,0,1,4,0,8,0,1,0,0,8,1,1,1,1,0,27,8,0,0,0,0
2015-05-13,0,Wed,SFN,HOU,hudst001,oberb001,3,4,36,11,1,1,1,3,0,0,1,3,0,8,1,1,2,0,10,5,4,4,0,0,24,8,1,0,2,0
2015-05-14,0,Thu,SFN,CIN,linct001,cuetj001,3,4,31,7,1,1,0,2,0,0,0,4,0,11,0,1,1,0,5,5,4,4,1,0,24,8,0,0,2,0
2015-05-15,0,Fri,SFN,CIN,bumgm001,marqj001,10,2,39,13,3,0,2,10,0,0,0,4,0,5,2,0,1,0,6,2,2,2,0,0,27,8,0,0,0,0
2015-05-16,0,Sat,SFN,CIN,voger001,leakm001,11,2,41,16,2,1,3,11,1,0,0,1,0,8,0,0,1,0,5,3,2,2,0,0,27,8,0,0,0,0
2015-05-17,0,Sun,SFN,CIN,hestc001,desca001,9,8,43,16,3,0,2,9,0,0,1,4,0,9,1,0,0,0,12,7,7,7,0,0,27,8,2,0,0,0
2015-05-19,0,Tue,LAN,SFN,friac001,hudst001,0,2,32,8,1,0,0,1,0,0,0,3,0,3,1,0,1,0,9,5,0,0,1,0,27,15,1,1,0,0
2015-05-20,0,Wed,LAN,SFN,andeb004,linct001,0,4,32,8,1,0,1,4,0,0,0,3,0,9,0,0,0,0,7,4,0,0,1,0,27,8,0,0,0,0
2015-05-21,0,Thu,LAN,SFN,kersc001,bumgm001,0,4,31,9,1,0,1,4,0,0,1,2,0,7,0,0,1,0,6,5,0,0,0,0,27,12,1,0,2,0
2015-05-22,0,Fri,SFN,COL,voger001,kendk001,11,8,40,14,4,0,2,11,1,0,0,4,0,6,0,0,0,0,7,6,8,8,0,0,27,8,1,0,2,0
2015-05-23,2,Sat,SFN,COL,petiy001,haled001,3,5,34,10,2,0,0,1,1,0,0,1,0,3,1,0,0,0,6,3,5,5,0,0,24,10,0,0,0,0
2015-05-23,1,Sat,SFN,COL,hestc001,lylej001,10,8,40,14,3,1,0,9,1,0,1,0,0,6,0,0,1,0,5,5,8,8,1,0,27,14,1,0,1,0
2015-05-24,0,Sun,SFN,COL,hudst001,bettc001,2,11,32,6,2,0,0,2,0,0,0,2,0,8,0,0,1,0,5,4,10,10,0,0,24,10,1,0,0,0
2015-05-25,0,Mon,SFN,MIL,linct001,lohsk001,8,4,38,13,1,0,1,7,0,0,0,5,0,12,2,0,2,0,8,3,4,4,0,0,27,11,0,0,0,0
2015-05-26,0,Tue,SFN,MIL,bumgm001,garzm001,6,3,35,10,3,0,3,6,1,0,0,3,0,10,0,1,0,0,6,4,3,3,0,0,27,6,0,0,0,0
2015-05-27,0,Wed,SFN,MIL,voger001,fierm001,3,1,35,9,2,0,1,3,0,1,1,0,0,11,0,0,0,0,7,4,1,1,0,0,27,7,0,0,1,0
2015-05-28,0,Thu,ATL,SFN,mills001,hestc001,0,7,35,12,4,1,1,6,0,0,0,1,0,2,0,1,0,0,5,4,0,0,0,0,27,14,0,0,0,0
2015-05-29,0,Fri,ATL,SFN,foltm001,hudst001,2,4,32,7,1,0,1,4,0,0,1,3,1,8,2,0,1,0,8,3,2,2,0,0,27,12,0,0,1,0
2015-05-30,0,Sat,ATL,SFN,perew001,linct001,8,0,34,8,0,0,0,0,0,0,0,4,0,5,0,0,1,0,11,4,8,8,0,0,27,11,1,0,1,0
2015-05-31,0,Sun,ATL,SFN,tehej001,bumgm001,7,5,33,7,2,0,3,5,1,0,0,5,0,3,0,0,0,0,7,6,6,6,0,0,27,15,1,1,0,0
2015-06-01,0,Mon,PIT,SFN,coleg001,voger001,4,3,32,6,2,0,0,3,0,0,0,2,0,10,1,0,2,0,4,3,3,3,0,0,27,9,1,0,0,0
2015-06-02,0,Tue,PIT,SFN,burna001,hestc001,7,4,38,11,3,0,1,4,0,0,1,3,0,8,0,0,0,0,11,5,7,7,1,0,27,6,0,0,1,0
2015-06-03,0,Wed,PIT,SFN,lirif001,hudst001,5,2,36,9,1,0,0,2,0,0,0,1,0,6,0,1,0,0,8,4,5,5,0,0,27,9,1,0,1,0
2015-06-05,0,Fri,SFN,PHI,linct001,willj003,5,4,37,12,2,0,3,5,0,0,1,1,0,7,1,1,1,0,7,5,4,4,0,0,27,9,0,0,2,0
2015-06-06,0,Sat,SFN,PHI,bumgm001,gonzs001,7,5,39,12,1,0,0,6,0,1,2,3,0,10,0,0,0,0,11,2,5,5,0,0,27,6,0,0,1,0
2015-06-07,0,Sun,SFN,PHI,voger001,osuls001,4,6,38,10,4,0,0,4,0,0,0,4,2,4,2,0,1,0,11,4,6,6,0,0,24,10,0,0,1,0
2015-06-09,0,Tue,SFN,NYN,hestc001,syndn001,5,0,37,13,1,0,2,5,0,0,1,2,0,3,0,0,2,0,8,1,0,0,0,0,27,13,0,0,1,0
2015-06-10,0,Wed,SFN,NYN,hudst001,harvm001,8,5,39,14,3,0,3,8,0,0,0,3,0,5,0,0,1,0,7,6,5,5,0,0,27,12,0,0,2,0
2015-06-11,0,Thu,SFN,NYN,linct001,niesj001,4,5,31,6,0,0,1,3,1,0,1,3,0,4,0,0,2,0,5,6,4,4,0,0,26,6,1,1,1,0
2015-06-12,0,Fri,ARI,SFN,andec001,bumgm001,1,0,28,2,0,0,0,0,0,0,2,1,0,3,1,0,0,0,4,4,1,1,0,0,27,13,0,0,2,0
2015-06-13,0,Sat,ARI,SFN,websa001,voger001,4,2,30,4,3,0,0,2,0,1,0,3,0,4,0,0,0,0,5,5,4,4,0,0,27,9,0,0,1,0
2015-06-14,0,Sun,ARI,SFN,delar003,hestc001,4,0,30,8,1,0,0,0,0,0,0,3,0,7,0,0,5,0,6,4,2,2,1,0,27,10,3,0,1,0
2015-06-15,0,Mon,SEA,SFN,walkt004,hudst001,5,1,34,7,1,0,0,1,0,0,0,0,0,9,0,0,0,0,6,4,5,5,1,0,27,13,1,0,1,0
2015-06-16,0,Tue,SEA,SFN,happj001,linct001,2,6,31,9,2,0,1,6,0,0,0,4,0,6,0,0,2,0,5,5,2,2,0,0,27,11,1,0,1,0
2015-06-17,0,Wed,SFN,SEA,bumgm001,hernf002,0,2,32,4,0,0,0,0,0,0,0,2,0,7,0,0,0,0,7,1,2,2,0,0,24,6,1,0,0,0
