Date,Number of game,Day,Visiting Team,Home Team,Visiting Team Starting Pitcher ID,Home Team Starting Pitcher ID,Visiting Team Score,Home Team Score,Team At-bats,Team Hits,Team Doubles,Team Triples,Team Homeruns,Team RBIs,Team Sacrifice Hits,Team Sacrifice Flies,Team Hit-by-pitch,Team Walks,Team Intentional Walks,Team Strikeouts,Team Stolen Bases,Team Caught Stealing,Team Grounded into DP,Team Awarded First Base due to CI,Team Left on Base,Team Pitchers Used,Team Individual Earned Runs,Team Earned Runs,Team Wild Pitches,Team Balks,Team Putouts,Team Assists,Team Errors,Team Passed Balls,Team Double Plays,Team Triple Plays
2015-04-06,0,Mon,TEX,OAK,gally001,grays001,0,8,37,11,3,1,2,7,0,0,0,4,0,9,0,0,0,0,9,2,0,0,0,0,27,8,1,0,1,0
2015-04-07,0,Tue,TEX,OAK,lewic001,hahnj001,3,1,30,5,0,1,0,1,0,0,0,3,0,7,0,0,3,0,5,4,3,3,0,0,27,11,1,0,1,0
2015-04-08,0,Wed,TEX,OAK,detwr001,kazms001,0,10,39,15,3,1,0,9,0,0,1,3,0,4,0,0,0,0,9,3,0,0,0,0,27,4,1,0,0,0
2015-04-09,0,Thu,TEX,OAK,martn002,gravk001,10,1,31,6,1,0,0,1,0,0,0,3,0,6,0,0,2,0,6,4,9,9,0,0,27,12,3,0,2,0
2015-04-10,0,Fri,SEA,OAK,walkt004,pomed001,0,12,40,16,5,0,1,12,0,0,0,4,2,6,0,0,0,0,8,3,0,0,0,0,27,8,0,0,1,0
2015-04-11,0,Sat,SEA,OAK,happj001,grays001,5,4,42,12,3,0,0,4,2,0,0,3,2,6,0,0,0,0,10,6,3,2,0,0,33,15,1,0,1,0
2015-04-12,0,Sun,SEA,OAK,hernf002,hahnj001,8,7,41,14,4,1,0,5,0,0,0,4,0,5,0,0,2,0,8,5,5,5,0,0,30,10,2,1,1,0
2015-04-13,0,Mon,OAK,HOU,kazms001,felds001,8,1,37,12,2,0,3,8,0,0,0,2,0,4,0,0,3,0,4,4,1,1,0,0,27,10,0,0,1,0
2015-04-14,0,Tue,OAK,HOU,gravk001,peacb001,4,0,31,7,3,0,0,4,0,1,2,2,0,7,1,0,2,0,5,5,0,0,0,0,27,13,0,0,2,0
2015-04-15,0,Wed,OAK,HOU,pomed001,mchuc001,1,6,35,8,1,1,0,1,0,0,0,0,0,13,1,0,0,0,7,3,6,6,0,0,24,6,0,0,0,0
