Date,Number of game,Day,Visiting Team,Home Team,Visiting Team Starting Pitcher ID,Home Team Starting Pitcher ID,Visiting Team Score,Home Team Score,Team At-bats,Team Hits,Team Doubles,Team Triples,Team Homeruns,Team RBIs,Team Sacrifice Hits,Team Sacrifice Flies,Team Hit-by-pitch,Team Walks,Team Intentional Walks,Team Strikeouts,Team Stolen Bases,Team Caught Stealing,Team Grounded into DP,Team Awarded First Base due to CI,Team Left on Base,Team Pitchers Used,Team Individual Earned Runs,Team Earned Runs,Team Wild Pitches,Team Balks,Team Putouts,Team Assists,Team Errors,Team Passed Balls,Team Double Plays,Team Triple Plays,Game ID
2015-04-06,0,Mon,TOR,NYA,hutcd001,tanam001,6,1,33,6,0,0,2,5,1,0,0,5,0,12,2,0,0,0,6,3,1,1,0,0,27,4,0,0,0,0,NYA201504060
2015-04-08,0,Wed,TOR,NYA,dickr001,pinem001,3,4,33,7,1,0,0,2,0,1,0,3,0,7,0,0,0,0,7,5,4,4,1,0,24,8,0,0,1,0,NYA201504080
2015-04-09,0,Thu,TOR,NYA,norrd002,sabac001,6,3,35,9,0,0,1,5,0,0,0,0,0,10,0,0,1,0,2,4,3,3,1,0,27,9,0,0,0,0,NYA201504090
2015-04-10,0,Fri,TOR,BAL,buehm001,norrb001,12,5,39,16,8,0,0,12,0,4,1,3,0,6,0,0,0,0,8,4,5,5,0,0,27,13,1,0,3,0,BAL201504100
2015-04-11,0,Sat,TOR,BAL,sanca006,jimeu001,1,7,30,3,1,0,0,1,0,0,1,1,0,10,1,0,0,0,4,4,7,7,1,0,24,11,1,0,2,0,BAL201504110
2015-04-12,0,Sun,TOR,BAL,hutcd001,tillc001,10,7,36,10,3,0,3,10,0,1,0,6,0,5,1,0,0,0,6,5,7,7,2,0,27,9,0,0,1,0,BAL201504120
2015-04-13,0,Mon,TBA,TOR,odorj001,dickr001,2,1,28,2,1,0,0,1,0,0,0,4,0,4,0,1,0,0,4,3,2,2,0,1,27,4,0,0,0,0,TOR201504130
2015-04-14,0,Tue,TBA,TOR,andrm001,norrd002,3,2,35,8,1,0,0,2,0,0,1,1,0,4,0,0,0,0,8,4,2,2,0,0,27,6,1,1,0,0,TOR201504140
2015-04-15,0,Wed,TBA,TOR,ramie004,buehm001,7,12,36,14,3,0,3,12,0,0,0,5,0,5,0,0,2,0,5,4,7,7,0,0,27,10,1,0,1,0,TOR201504150
2015-04-16,0,Thu,TBA,TOR,archc001,sanca006,4,2,29,4,1,0,0,2,0,1,3,4,0,12,0,0,1,0,8,3,4,4,0,0,27,12,1,0,2,0,TOR201504160
